rank,title,year,rating,votes,duration,certificate,imdb_url,poster_url
20,Seven,1995,8.6,2.1M,2h 7m,R,https://www.imdb.com/title/tt0114369/,"https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
21,It's a Wonderful Life,1946,8.6,559K,2h 10m,PG,https://www.imdb.com/title/tt0038650/,"https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
22,The Silence of the Lambs,1991,8.6,1.7M,1h 58m,R,https://www.imdb.com/title/tt0102926/,"https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
23,Saving Private Ryan,1998,8.6,1.7M,2h 49m,R,https://www.imdb.com/title/tt0120815/,"https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
24,Seven Samurai,1954,8.6,406K,3h 27m,Not Rated,https://www.imdb.com/title/tt0047478/,"https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
25,The Green Mile,1999,8.6,1.6M,3h 9m,R,https://www.imdb.com/title/tt0120689/,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX90_CR0,0,90,133_.jpg"
26,City of God,2002,8.6,882K,2h 10m,R,https://www.imdb.com/title/tt0317248/,"https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
27,Life Is Beautiful,1997,8.6,823K,1h 56m,PG-13,https://www.imdb.com/title/tt0118799/,"https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
28,Terminator 2: Judgment Day,1991,8.6,1.3M,2h 17m,R,https://www.imdb.com/title/tt0103064/,"https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
29,Back to the Future,1985,8.5,1.5M,1h 56m,PG,https://www.imdb.com/title/tt0088763/,"https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
30,Star Wars: Episode IV - A New Hope,1977,8.6,1.6M,2h 1m,PG,https://www.imdb.com/title/tt0076759/,"https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
31,Spirited Away,2001,8.6,985K,2h 4m,PG,https://www.imdb.com/title/tt0245429/,"https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
32,Gladiator,2000,8.5,1.9M,2h 35m,R,https://www.imdb.com/title/tt0172495/,"https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
33,Kill Bill: The Whole Bloody Affair,2004,8.7,58K,4h 13m,Unrated,https://www.imdb.com/title/tt6019206/,"https://m.media-amazon.com/images/M/MV5BZDc2YzhkODAtZmRmZS00YzcxLWJkYWEtM2ZhZjY3MmMyZmJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
34,The Pianist,2002,8.5,1M,2h 30m,R,https://www.imdb.com/title/tt0253474/,"https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg"
35,Parasite,2019,8.5,1.2M,2h 12m,R,https://www.imdb.com/title/tt6751668/,"https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
36,Grave of the Fireflies,1988,8.5,396K,1h 28m,Not Rated,https://www.imdb.com/title/tt0095327/,"https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
37,Harakiri,1962,8.6,94K,2h 13m,Not Rated,https://www.imdb.com/title/tt0056058/,"https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
38,Psycho,1960,8.5,794K,1h 49m,R,https://www.imdb.com/title/tt0054215/,"https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
39,The Lion King,1994,8.5,1.3M,1h 28m,G,https://www.imdb.com/title/tt0110357/,"https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
40,The Departed,2006,8.5,1.6M,2h 31m,R,https://www.imdb.com/title/tt0407887/,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY133_CR0,0,90,133_.jpg"
41,Whiplash,2014,8.5,1.2M,1h 46m,R,https://www.imdb.com/title/tt2582802/,"https://m.media-amazon.com/images/M/MV5BMDFjOWFkYzktYzhhMC00NmYyLTkwY2EtYjViMDhmNzg0OGFkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
42,The Prestige,2006,8.5,1.6M,2h 10m,PG-13,https://www.imdb.com/title/tt0482571/,"https://m.media-amazon.com/images/M/MV5BM2Y0YmM5MWYtZTYzNi00ZjU5LTlmOGYtZDQ4ODQyMjAzNjQ2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
43,American History X,1998,8.5,1.3M,1h 59m,R,https://www.imdb.com/title/tt0120586/,"https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
44,Spider-Man: Across the Spider-Verse,2023,8.5,553K,2h 20m,PG,https://www.imdb.com/title/tt9362722/,"https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
45,Léon: The Professional,1994,8.5,1.4M,1h 50m,R,https://www.imdb.com/title/tt0110413/,"https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
46,Cinema Paradiso,1988,8.5,321K,2h 54m,PG,https://www.imdb.com/title/tt0095765/,"https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
47,Casablanca,1942,8.5,661K,1h 42m,PG,https://www.imdb.com/title/tt0034583/,"https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
48,The Intouchables,2011,8.5,1M,1h 52m,R,https://www.imdb.com/title/tt1675434/,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
49,The Usual Suspects,1995,8.5,1.3M,1h 46m,R,https://www.imdb.com/title/tt0114814/,"https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
50,Django Unchained,2012,8.5,1.9M,2h 45m,R,https://www.imdb.com/title/tt1853728/,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
51,Alien,1979,8.4,1.1M,1h 57m,R,https://www.imdb.com/title/tt0078748/,"https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
52,Rear Window,1954,8.4,574K,1h 52m,PG,https://www.imdb.com/title/tt0047396/,"https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
