rank,title,year,rating,votes,duration,certificate,imdb_url,poster_url
83,Braveheart,1995,8.3,1.2M,2h 58m,R,https://www.imdb.com/title/tt0112573/,"https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
84,Princess Mononoke,1997,8.3,491K,2h 13m,PG-13,https://www.imdb.com/title/tt0119698/,"https://m.media-amazon.com/images/M/MV5BZTcyN2Y0MDYtMGI1NC00MWQ1LWFhZGMtN2U4NTcxZGYyNjljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
85,Oldboy,2003,8.3,732K,2h,R,https://www.imdb.com/title/tt0364569/,"https://m.media-amazon.com/images/M/MV5BMTAwNzNjYWItZmI0Ni00ZTcyLWIwNWMtZjlmNGMxZTEyYTJmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
86,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,555K,1h 35m,PG,https://www.imdb.com/title/tt0057012/,"https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
87,American Beauty,1999,8.3,1.3M,2h 2m,R,https://www.imdb.com/title/tt0169547/,"https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
88,Capernaum,2018,8.4,127K,2h 6m,R,https://www.imdb.com/title/tt8267604/,"https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
89,Singin' in the Rain,1952,8.3,286K,1h 43m,G,https://www.imdb.com/title/tt0045152/,"https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
90,Once Upon a Time in America,1984,8.3,412K,3h 49m,R,https://www.imdb.com/title/tt0087843/,"https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
91,Joker,2019,8.3,1.7M,2h 2m,R,https://www.imdb.com/title/tt7286456/,"https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
92,Toy Story 3,2010,8.3,991K,1h 43m,G,https://www.imdb.com/title/tt0435761/,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY133_CR2,0,90,133_.jpg"
93,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1.2M,2h 11m,PG,https://www.imdb.com/title/tt0086190/,"https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
94,Come and See,1985,8.3,127K,2h 22m,Not Rated,https://www.imdb.com/title/tt0091251/,"https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
95,Attack on Titan: The Last Attack,2024,8.9,37K,2h 25m,Not Rated,https://www.imdb.com/title/tt33175825/,"https://m.media-amazon.com/images/M/MV5BNzVjOWEwYjEtNDJhOC00YjUyLThjMWItMDQwZGY1ODM4YzI3XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
96,Requiem for a Dream,2000,8.3,985K,1h 42m,NC-17,https://www.imdb.com/title/tt0180093/,"https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
97,Incendies,2010,8.3,259K,2h 11m,R,https://www.imdb.com/title/tt1255953/,"https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
98,Ikiru,1952,8.3,104K,2h 23m,Not Rated,https://www.imdb.com/title/tt0044741/,"https://m.media-amazon.com/images/M/MV5BMmNlZTk4ZjQtY2I5NS00NmNiLTlkNmUtYTc3YmE0ZTk3OGNiXkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg"
99,The Hunt,2012,8.3,419K,1h 55m,R,https://www.imdb.com/title/tt2106476/,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_QL75_UY133_CR2,0,90,133_.jpg"
100,Eternal Sunshine of the Spotless Mind,2004,8.3,1.2M,1h 48m,R,https://www.imdb.com/title/tt0338013/,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
101,The Apartment,1960,8.3,223K,2h 5m,Approved,https://www.imdb.com/title/tt0053604/,"https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
102,Lawrence of Arabia,1962,8.3,346K,3h 47m,Approved,https://www.imdb.com/title/tt0056172/,"https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
103,Heat,1995,8.3,819K,2h 50m,R,https://www.imdb.com/title/tt0113277/,"https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
104,Scarface,1983,8.3,1M,2h 50m,R,https://www.imdb.com/title/tt0086250/,"https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
105,Reservoir Dogs,1992,8.2,1.2M,1h 39m,R,https://www.imdb.com/title/tt0105236/,"https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
106,Up,2009,8.3,1.3M,1h 36m,PG,https://www.imdb.com/title/tt1049413/,"https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
107,2001: A Space Odyssey,1968,8.3,793K,2h 29m,G,https://www.imdb.com/title/tt0062622/,"https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
108,Double Indemnity,1944,8.3,183K,1h 47m,Approved,https://www.imdb.com/title/tt0036775/,"https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
109,Like Stars on Earth,2007,8.3,236K,2h 42m,PG,https://www.imdb.com/title/tt0986264/,"https://m.media-amazon.com/images/M/MV5BZTI0ZGRiMDEtNGNjMS00MGU4LWI3OTktNzcxMDZmZTk3MTljXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
110,North by Northwest,1959,8.2,372K,2h 16m,Approved,https://www.imdb.com/title/tt0053125/,"https://m.media-amazon.com/images/M/MV5BZWIzODI2OGItMzM0Ny00OGRmLTlkNmItMDQxMTFmMTk3YmQwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
111,Full Metal Jacket,1987,8.2,860K,1h 56m,R,https://www.imdb.com/title/tt0093058/,"https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
112,I Swear,2025,8.3,64K,2h,R,https://www.imdb.com/title/tt31514146/,"https://m.media-amazon.com/images/M/MV5BNWQxYTMyZTktZDg5Yi00Y2YwLWI4YzQtMjkyYmYxNmFjYThmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
113,A Separation,2011,8.3,280K,2h 3m,PG-13,https://www.imdb.com/title/tt1832382/,"https://m.media-amazon.com/images/M/MV5BMDM0ZWRmMzctM2M5ZS00ZjU0LWIxN2MtNWNlNGY1ZDhjMDVhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
114,Die Hard,1988,8.2,1M,2h 12m,R,https://www.imdb.com/title/tt0095016/,"https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
115,M,1931,8.3,184K,1h 39m,Passed,https://www.imdb.com/title/tt0022100/,"https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_QL75_UX90_CR0,1,90,133_.jpg"
116,Amélie,2001,8.2,847K,2h 2m,R,https://www.imdb.com/title/tt0211915/,"https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
117,To Kill a Mockingbird,1962,8.2,353K,2h 9m,Approved,https://www.imdb.com/title/tt0056592/,"https://m.media-amazon.com/images/M/MV5BZTlkYWU4MGEtZmQyYi00OWEzLTgzY2EtYzVjOTEzYzAyNTk1XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
118,Vertigo,1958,8.2,463K,2h 8m,PG,https://www.imdb.com/title/tt0052357/,"https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
119,Citizen Kane,1941,8.2,497K,1h 59m,PG,https://www.imdb.com/title/tt0033467/,"https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
120,Indiana Jones and the Last Crusade,1989,8.2,872K,2h 7m,PG-13,https://www.imdb.com/title/tt0097576/,"https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
121,The Sting,1973,8.2,306K,2h 9m,PG,https://www.imdb.com/title/tt0070735/,"https://m.media-amazon.com/images/M/MV5BM2E4MGZjOGItNzAwYy00MjU5LTliZTEtNTQ3YTUzNmUzMjE0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
122,A Clockwork Orange,1971,8.2,945K,2h 16m,R,https://www.imdb.com/title/tt0066921/,"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
123,Metropolis,1927,8.2,203K,2h 30m,Passed,https://www.imdb.com/title/tt0017136/,"https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
124,1917,1917,8.2,786K,1h 59m,R,https://www.imdb.com/title/tt8579674/,"https://m.media-amazon.com/images/M/MV5BYzkxZjg2NDQtMGVjMy00NWZkLTk0ZDEtZWE3NDYwYjAyMTg1XkEyXkFqcGc@._V1_QL75_UX90_CR0,5,90,133_.jpg"
125,The Wolf of Wall Street,2013,8.2,1.8M,3h,R,https://www.imdb.com/title/tt0993846/,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
126,The Truman Show,1998,8.2,1.4M,1h 43m,PG,https://www.imdb.com/title/tt0120382/,"https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
127,Snatch,2000,8.2,986K,1h 42m,R,https://www.imdb.com/title/tt0208092/,"https://m.media-amazon.com/images/M/MV5BYzk5NjJkMTQtN2IyNC00YWM5LTlhZmMtNGI3MWNhMTU1YTc4XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
128,Shutter Island,2010,8.2,1.7M,2h 18m,R,https://www.imdb.com/title/tt1130884/,"https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
129,Downfall,2004,8.2,404K,2h 36m,R,https://www.imdb.com/title/tt0363163/,"https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_QL75_UY133_CR1,0,90,133_.jpg"
130,L.A. Confidential,1997,8.2,664K,2h 18m,R,https://www.imdb.com/title/tt0119488/,"https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
131,Green Book,2018,8.2,704K,2h 10m,PG-13,https://www.imdb.com/title/tt6966692/,"https://m.media-amazon.com/images/M/MV5BNDU5YTNmMmItN2QxNy00OGQ0LTg5MTctNzFmYjEzZjcwN2UwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
132,Dangal,2016,8.3,248K,2h 41m,Not Rated,https://www.imdb.com/title/tt5074352/,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_QL75_UY133_CR3,0,90,133_.jpg"
133,Woman in the Dunes,1964,8.4,26K,2h 27m,Not Rated,https://www.imdb.com/title/tt0058625/,"https://m.media-amazon.com/images/M/MV5BM2E1ZjY5MjItZTUxZS00NTI1LWEwMmEtODhlMDAyMzUyOTRmXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
134,Bicycle Thieves,1948,8.2,193K,1h 29m,Not Rated,https://www.imdb.com/title/tt0040522/,"https://m.media-amazon.com/images/M/MV5BMjIzMzAyMzg1Nl5BMl5BanBnXkFtZTgwMzMyNzk0MTE@._V1_QL75_UY133_CR1,0,90,133_.jpg"
135,Judgment at Nuremberg,1961,8.3,99K,2h 59m,Approved,https://www.imdb.com/title/tt0055031/,"https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_QL75_UX90_CR0,1,90,133_.jpg"
136,Jurassic Park,1993,8.2,1.2M,2h 7m,PG-13,https://www.imdb.com/title/tt0107290/,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX90_CR0,1,90,133_.jpg"
137,Batman Begins,2005,8.2,1.7M,2h 20m,PG-13,https://www.imdb.com/title/tt0372784/,"https://m.media-amazon.com/images/M/MV5BMzA2NDQzZDEtNDU5Ni00YTlkLTg2OWEtYmQwM2Y1YTBjMjFjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
138,Oppenheimer,2023,8.2,1.1M,3h,R,https://www.imdb.com/title/tt15398776/,"https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
139,For a Few Dollars More,1965,8.2,304K,2h 12m,R,https://www.imdb.com/title/tt0059578/,"https://m.media-amazon.com/images/M/MV5BNTRmOTcyYmYtMTIwNi00ZGYyLTk4YjYtZGJlZTgwZGY0NGQyXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
140,Hamilton,2020,8.3,143K,2h 40m,PG-13,https://www.imdb.com/title/tt8503618/,"https://m.media-amazon.com/images/M/MV5BYTc3MWIyMzAtMTZmNC00YmNjLWIyZTgtMmU4NjZkYzZkOThkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
141,There Will Be Blood,2007,8.2,719K,2h 38m,R,https://www.imdb.com/title/tt0469494/,"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
142,Some Like It Hot,1959,8.2,307K,2h 1m,Approved,https://www.imdb.com/title/tt0053291/,"https://m.media-amazon.com/images/M/MV5BZTllZDYyNjEtY2RmMS00NmJhLWI4ODAtMTQ0NWFiZTJhZjA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
143,Taxi Driver,1976,8.2,1M,1h 54m,R,https://www.imdb.com/title/tt0075314/,"https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
144,The Father,2020,8.2,250K,1h 37m,PG-13,https://www.imdb.com/title/tt10272386/,"https://m.media-amazon.com/images/M/MV5BYzUxMDAyMDAtNzIyZi00OGQ1LTllMjEtYzRjOThkZTUxNTliXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
145,The Kid,1921,8.2,147K,1h 8m,Passed,https://www.imdb.com/title/tt0012349/,"https://m.media-amazon.com/images/M/MV5BNjkxMzY1NTQtN2YwOS00NmIwLTlkNTMtMjNkMzk1ZTk3ZDU2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
146,The Sixth Sense,1999,8.2,1.2M,1h 47m,PG-13,https://www.imdb.com/title/tt0167404/,"https://m.media-amazon.com/images/M/MV5BZWQ2OTY0M2UtMTQxNC00MmIzLTllNDQtNDQ0MTQyYzI2M2ZiXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
147,All About Eve,1950,8.2,151K,2h 18m,Approved,https://www.imdb.com/title/tt0042192/,"https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_QL75_UX90_CR0,1,90,133_.jpg"
148,Ran,1985,8.2,155K,2h 40m,R,https://www.imdb.com/title/tt0089881/,"https://m.media-amazon.com/images/M/MV5BZDk2NDY5YjktMjEyMC00OTJhLTkzM2EtY2Q4Y2RjYzc2Yjk4XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
149,Casino,1995,8.2,628K,2h 58m,R,https://www.imdb.com/title/tt0112641/,"https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
150,The Thing,1982,8.2,535K,1h 49m,R,https://www.imdb.com/title/tt0084787/,"https://m.media-amazon.com/images/M/MV5BYTA3NDU5MWEtNTk4Yy00ZDNkLThmZTQtMjU3ZGVhYzAyMzU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
151,No Country for Old Men,2007,8.2,1.2M,2h 2m,R,https://www.imdb.com/title/tt0477348/,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
152,Prisoners,2013,8.2,959K,2h 33m,R,https://www.imdb.com/title/tt1392214/,"https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
153,Top Gun: Maverick,2022,8.2,906K,2h 10m,PG-13,https://www.imdb.com/title/tt1745960/,"https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
154,Kill Bill: Vol. 1,2003,8.2,1.3M,1h 51m,R,https://www.imdb.com/title/tt0266697/,"https://m.media-amazon.com/images/M/MV5BZmMyYzJlZmYtY2I3NC00NjAyLTkyZWItZjdjZDI1YTYyYTEwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
155,Pan's Labyrinth,2006,8.2,753K,1h 58m,R,https://www.imdb.com/title/tt0457430/,"https://m.media-amazon.com/images/M/MV5BOTc1NTAxMWItMWFlNy00MmU2LTkwMTMtNzMwOTg5OTQ5YTFiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
156,Unforgiven,1992,8.2,473K,2h 10m,R,https://www.imdb.com/title/tt0105695/,"https://m.media-amazon.com/images/M/MV5BNmZmMzM3YWMtZjg5Yi00M2MxLTg3ZGItNGU4YjQxNDAxM2Q4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
157,A Beautiful Mind,2001,8.2,1.1M,2h 15m,PG-13,https://www.imdb.com/title/tt0268978/,"https://m.media-amazon.com/images/M/MV5BYjgzNjFkMmItOGJhNi00NWM3LWJlYTUtNDExMGQ3ZTI3NjJkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
158,Howl's Moving Castle,2004,8.2,522K,1h 59m,PG,https://www.imdb.com/title/tt0347149/,"https://m.media-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
159,Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,8.4,84K,2h 35m,R,https://www.imdb.com/title/tt32820897/,"https://m.media-amazon.com/images/M/MV5BOGQ3YWUzYjEtMTJiYy00ZjQ0LWI0YjktYjhiNGVhNGExYTM3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
160,Project Hail Mary,2026,8.2,548K,2h 36m,PG-13,https://www.imdb.com/title/tt12042730/,"https://m.media-amazon.com/images/M/MV5BNTkwNzJiYTctNzI3NC00NjE1LTlhYjktY2Q5MTdmMWFmNzcxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
161,The Treasure of the Sierra Madre,1948,8.2,143K,2h 6m,Approved,https://www.imdb.com/title/tt0040897/,"https://m.media-amazon.com/images/M/MV5BOWM1YjFmODEtMWNhMC00YmI1LWI0Y2EtYzg0YTBhZWI4ODE3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
162,Finding Nemo,2003,8.2,1.2M,1h 40m,G,https://www.imdb.com/title/tt0266543/,"https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_QL75_UX90_CR0,0,90,133_.jpg"
163,Klaus,2019,8.2,243K,1h 36m,PG,https://www.imdb.com/title/tt4729430/,"https://m.media-amazon.com/images/M/MV5BZDA4ODhlMzctNGRmYi00NmViLTkxZGYtZjRkNGQ5YzYwYWVlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
164,Yojimbo,1961,8.2,145K,1h 50m,Not Rated,https://www.imdb.com/title/tt0055630/,"https://m.media-amazon.com/images/M/MV5BYzFkODA1N2QtY2UyMC00NTMwLWEyNzctMmE3YjIzNzE1MzY4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
165,The Elephant Man,1980,8.2,284K,2h 4m,PG,https://www.imdb.com/title/tt0080678/,"https://m.media-amazon.com/images/M/MV5BMGE2MzViYzEtZDFmOC00YmViLWFkZTQtYmI2NmI3NDJjMDc0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
166,The Great Escape,1963,8.2,280K,2h 52m,Approved,https://www.imdb.com/title/tt0057115/,"https://m.media-amazon.com/images/M/MV5BMDRhNmJjMzEtMWU5MC00YmEyLTg3ZmYtNzYxZTI1ZGU4ZjI1XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
167,Monty Python and the Holy Grail,1975,8.1,608K,1h 31m,PG,https://www.imdb.com/title/tt0071853/,"https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
168,Dial M for Murder,1954,8.1,207K,1h 45m,PG,https://www.imdb.com/title/tt0046912/,"https://m.media-amazon.com/images/M/MV5BZmYzNDgzYjgtNmU3Ny00YzUxLWE3OWUtMjIxZmNkYTVhNDZmXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg"
169,The Secret in Their Eyes,2009,8.2,245K,2h 9m,R,https://www.imdb.com/title/tt1305806/,"https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
170,Gone with the Wind,1939,8.2,359K,3h 58m,G,https://www.imdb.com/title/tt0031381/,"https://m.media-amazon.com/images/M/MV5BYmYxZTE3YzMtYmE2Yy00NmFlLTkzYTAtYTAzN2IzNDFkN2E0XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
171,"Lock, Stock and Two Smoking Barrels",1998,8.1,654K,1h 47m,R,https://www.imdb.com/title/tt0120735/,"https://m.media-amazon.com/images/M/MV5BMmY1M2M5ZmMtYzllZC00YzAxLTk4MjktZDJkNjA1MTUwMGQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
172,Chinatown,1974,8.1,380K,2h 10m,R,https://www.imdb.com/title/tt0071315/,"https://m.media-amazon.com/images/M/MV5BNmRmZTE0NmUtZjhiZi00MzQ3LTk3ZjctN2Q3ODYzY2U3MDk3XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
